                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.1228,                0.89681,                  1.214,                0.88337,                0.79724,                0.87255,                0.55477,                 1.3136,                0.93234,                 1.3847,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.1347,                0.86594,                 1.2002,                0.89912,                0.78341,                0.88191,                0.54508,                  1.348,                0.94311,                 1.3646,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.1709,                0.90268,                 1.2222,                0.94493,                0.78802,                0.88355,                0.56628,                 1.3177,                0.91082,                 1.3714,               0.001109,               0.001109,               0.001109
                     47,                 1.1141,                0.83935,                 1.1956,                0.93601,                0.79724,                0.88751,                0.55068,                 1.3465,                0.87588,                 1.3981,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.0987,                 0.8456,                  1.199,                0.93556,                0.78341,                0.90016,                0.55975,                 1.3298,                0.86387,                  1.393,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.1567,                0.83709,                 1.2272,                0.93382,                0.80184,                 0.9017,                0.56762,                 1.3237,                0.90437,                 1.3775,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.0929,                0.79558,                 1.1702,                 0.8821,                0.82949,                0.91108,                0.56477,                 1.3321,                0.85297,                 1.3783,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.0995,                0.82456,                 1.1759,                0.91451,                 0.7788,                0.90205,                0.56929,                 1.2782,                0.85497,                 1.3541,                0.00101,                0.00101,                0.00101
                     52,                 1.0397,                0.79896,                 1.1526,                0.95447,                0.77279,                0.89176,                0.57365,                 1.2741,                0.88112,                 1.3395,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.0603,                0.76612,                 1.1567,                 0.9118,                0.78802,                0.89371,                0.57429,                 1.3043,                0.90009,                  1.355,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.0229,                0.76118,                 1.1339,                0.89519,                0.79263,                0.90067,                0.57711,                 1.3108,                0.85966,                 1.3822,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.1044,                0.80851,                 1.1786,                 0.9567,                0.81459,                0.90813,                0.57195,                 1.2863,                0.82271,                 1.3659,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.0408,                0.77902,                 1.1547,                0.92573,                0.82949,                0.91999,                 0.5901,                 1.2935,                0.80566,                 1.3452,               0.000911,               0.000911,               0.000911
                     57,                 1.0624,                0.79717,                 1.1693,                 0.9186,                0.83206,                0.90992,                0.57697,                  1.303,                0.82512,                 1.3471,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.0205,                0.75805,                 1.1343,                0.95305,                0.84188,                0.92088,                0.58978,                 1.2943,                0.81415,                 1.3643,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.0299,                0.78051,                 1.1525,                 0.9452,                0.79478,                0.89508,                0.58036,                  1.277,                0.82488,                 1.3593,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.0364,                  0.771,                  1.163,                0.94074,                0.80477,                0.91362,                0.59631,                   1.26,                0.78321,                 1.3467,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.0137,                0.74567,                 1.1426,                0.95424,                 0.7688,                0.89462,                0.59318,                 1.2866,                0.82326,                 1.3367,               0.000812,               0.000812,               0.000812
                     62,                 1.0184,                0.76057,                 1.1456,                0.90468,                 0.8747,                 0.9272,                0.60456,                 1.2677,                 0.7633,                 1.3309,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.0312,                0.75596,                 1.1474,                0.93167,                0.81679,                0.91329,                0.60846,                  1.254,                0.79134,                 1.3347,              0.0007724,              0.0007724,              0.0007724
                     64,                  1.012,                0.76941,                 1.1416,                0.87699,                0.82136,                0.89741,                0.59681,                 1.1973,                0.81862,                 1.2979,              0.0007526,              0.0007526,              0.0007526
                     65,                0.98458,                0.69316,                 1.1113,                0.93674,                0.84793,                0.93627,                 0.6093,                 1.2275,                0.74661,                 1.3129,              0.0007328,              0.0007328,              0.0007328
                     66,                0.95972,                0.72019,                  1.109,                 0.9432,                0.84793,                0.92587,                0.61523,                 1.2199,                0.76168,                 1.3144,               0.000713,               0.000713,               0.000713
